State,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Alabama,102.6,98.5,104.9,109.6,108.8,107.8,108.1,111.7,106.6,111.6,107.1,103.8,90.9,89.9,95.3,101.6,101.7,103.7,104.9,109.9,109.6,113.9,120.8,125.3,123.2,131,137.2,134.1,133.5,135.84,142.3,133.32,138.3,139.8,142,143.5,145.8,147.3,139.4,119.8,132.5,129.5,122.6,120.5,122.6,119.2,114,108.6,112.4,106.3,98.3
Alaska,11.3,12.6,13.4,12.5,12.8,14.5,16,18,19.5,17.5,17.4,17,23.9,25.9,28.6,29,31.4,29.7,30.2,33.3,33.9,34.5,35.8,35.7,35.5,40,41.1,41.2,42.2,42.86,43.6,42.55,42.7,42.9,46.2,47.5,45.4,43.7,39.1,37.3,37.1,37.1,36.2,34,33.9,35,33.4,33.7,34.5,34.3,36
Arizona,24.9,27,30.2,34.4,36.7,38.2,43.8,50.5,49.3,56.1,52.9,59.9,58.5,54.2,58.5,61.1,56.3,56.4,59.6,65.5,63.1,64,66.8,69.1,71.8,66.7,68.6,71.7,76.7,80.62,86.6,88.86,88.3,90.5,97.3,97.3,100.5,102.4,102.6,93.9,99.5,97.7,95.5,99.3,97.3,95,90.9,90.5,94.1,92.5,80.1
Arkansas,36.2,35.1,37.2,40.8,39.1,36.4,38.9,41.6,42.4,40.2,37.5,42.9,42.7,47.1,45,49.1,50,47.1,51,51.3,50.8,49.7,51.4,50.4,54.3,57.7,60.2,59.2,60.5,62.72,63.3,62.5,61.2,62.2,62.5,60.2,62.1,63.4,64.2,61.5,66.1,67.5,66.3,68.5,68.9,59.1,62.1,64.2,70.8,65.1,54.7
California,294.4,305.8,312.7,329.3,304.5,311.5,326.9,354.5,345.2,362.1,344.4,334.2,298.8,293.5,315.5,320.6,306.7,335.8,344.6,359.4,360.2,348.8,352.9,342.3,359.3,348.7,349.8,352.7,362.7,366.1,382.3,385.56,384.4,374.6,392.7,389.6,397.8,402.6,384,370.4,356.6,342.7,348.7,349.7,345.4,351.4,353.4,356.5,358.6,358.2,303.4
Colorado,43,43.6,47.5,51.1,50.5,51.8,55.1,58.3,58.4,58.9,58.9,57.8,59,57.2,60.9,61.5,60.7,61.4,63.8,65,66.5,67.8,68.8,72.5,73,73.1,76,76.2,78.4,80.46,85.5,93.3,91.6,91,93.5,95.8,96.6,99.3,97.4,93.3,95.9,92.5,91.2,92.1,92.8,91.3,88.4,88.8,90.1,91.7,79.9
Connecticut,47.8,45.9,47.2,48.6,45.4,41.7,43.4,43.1,44,42,40.1,35.4,35.4,34.8,38,37.9,39.5,39.7,42.2,43.7,40.4,39.6,40,38.1,37.4,36.7,39.4,42.3,39.9,41.17,42.8,41.57,40,43,44.7,43.9,40.9,40.1,37.7,36,36.4,35,34.3,34.6,35,36.3,34.1,33.9,37.4,36.6,33.8
Delaware,16.1,15.9,16,17.2,16.7,15.5,16.2,16.1,16.2,17.1,17.5,16.3,14.7,17.7,18.4,17.4,17.2,17.9,18.5,17.8,18,17.9,17.8,19.1,18.5,17.5,18.2,16.8,16.2,16.4,16.7,16,15.9,16.6,16.6,17.4,16.2,17.1,16.2,11.9,13.1,13.9,14.6,14,13.8,13.9,14.4,13.8,14,13.6,12.5
District of Columbia,13.6,11.9,11.3,11.9,9.8,7.9,7.7,7.9,7.5,6,5.2,4.7,5.2,5,5.2,4.7,5.2,5,4.9,5,4.4,4.4,4.4,4.5,4.5,4.4,4.4,4.3,4.1,4.14,4.3,4.08,4.2,4,4,3.9,3.2,3.4,3.1,3.2,3.2,3.1,2.6,2.8,3,3,2.8,2.6,2.9,2.8,2.4
Florida,104.4,111.5,121.7,132.2,124.3,125.9,134.5,138.2,146.1,153.4,155.8,156.1,140,146.1,143.7,152.4,163.4,174,183.9,188.2,187.5,188.5,191,193.7,201.2,206.8,212.5,217.8,230.3,229.81,239.1,237.39,241.2,246.5,257.1,260,259.1,256.7,238.5,224.7,245.5,232.4,227,227,233,237.4,238.8,238.4,242,233.6,207.6
